dataset,horizon_len,metric,model,best_window_count,mean_best_value,n_windows,best_window_fraction
ESNet,4321,dtw_scaled,DLinear,2,0.1492097594188642,3,0.6666666666666666
ESNet,4321,dtw_scaled,Chronos-2,1,0.1373061456704606,3,0.3333333333333333
ESNet,4321,high_frequency_energy_ratio_error,PatchTST,2,4.72904284623629,3,0.6666666666666666
ESNet,4321,high_frequency_energy_ratio_error,TimeMixer,1,4.509556379070966,3,0.3333333333333333
ESNet,4321,mae_scaled,DLinear,3,0.2039625828855419,3,1.0
ESNet,4321,mse_scaled,iTransformer,2,1.3796255732124623,3,0.6666666666666666
ESNet,4321,mse_scaled,TimeMixer,1,1.6041747812452802,3,0.3333333333333333
ESNet,4321,tdi_scaled,iTransformer,2,4.384438205062492e-06,3,0.6666666666666666
ESNet,4321,tdi_scaled,PatchTST,1,1.4674245694481162e-05,3,0.3333333333333333
ESNet,4321,total_variation_ratio_error,PatchTST,2,3.4054620680106797,3,0.6666666666666666
ESNet,4321,total_variation_ratio_error,TimeMixer,1,3.147351373191463,3,0.3333333333333333
ETTh1,96,dtw_scaled,TimesFM,2,0.10005031956008335,6,0.3333333333333333
ETTh1,96,dtw_scaled,iTransformer,2,0.20547812408741234,6,0.3333333333333333
ETTh1,96,dtw_scaled,Chronos-2,1,0.1020645271790655,6,0.16666666666666666
ETTh1,96,dtw_scaled,DLinear,1,0.1611893378638538,6,0.16666666666666666
ETTh1,96,high_frequency_energy_ratio_error,DLinear,5,0.4156361180572478,6,0.8333333333333334
ETTh1,96,high_frequency_energy_ratio_error,Chronos-2,1,0.8062293446844483,6,0.16666666666666666
ETTh1,96,mae_scaled,iTransformer,3,0.22991231456165226,6,0.5
ETTh1,96,mae_scaled,TimesFM,2,0.20622618170455098,6,0.3333333333333333
ETTh1,96,mae_scaled,Chronos-2,1,0.22805096954107285,6,0.16666666666666666
ETTh1,96,mse_scaled,iTransformer,3,0.08706893441025206,6,0.5
ETTh1,96,mse_scaled,TimesFM,2,0.07463777480469347,6,0.3333333333333333
ETTh1,96,mse_scaled,Chronos-2,1,0.06560530602355485,6,0.16666666666666666
ETTh1,96,tdi_scaled,Chronos-2,3,0.0005993315149650069,6,0.5
ETTh1,96,tdi_scaled,TimeMixer,2,0.004765579472610723,6,0.3333333333333333
ETTh1,96,tdi_scaled,DLinear,1,0.0,6,0.16666666666666666
ETTh1,96,tdi_scaled,PatchTST,1,0.0010738742835097001,6,0.16666666666666666
ETTh1,96,tdi_scaled,TimesFM,1,0.0,6,0.16666666666666666
ETTh1,96,tdi_scaled,iTransformer,1,0.0029545153601694915,6,0.16666666666666666
ETTh1,96,total_variation_ratio_error,DLinear,6,0.21734716401810486,6,1.0
ETTm1,96,dtw_scaled,DLinear,3,0.060584522023611344,6,0.5
ETTm1,96,dtw_scaled,TimeMixer,2,0.05228325733119389,6,0.3333333333333333
ETTm1,96,dtw_scaled,PatchTST,1,0.3750021773927067,6,0.16666666666666666
ETTm1,96,high_frequency_energy_ratio_error,DLinear,6,0.599145342715449,6,1.0
ETTm1,96,mae_scaled,TimeMixer,2,0.06688195701242347,6,0.3333333333333333
ETTm1,96,mae_scaled,TimesFM,2,0.2665988989174366,6,0.3333333333333333
ETTm1,96,mae_scaled,Chronos-2,1,0.11186234839260578,6,0.16666666666666666
ETTm1,96,mae_scaled,DLinear,1,0.20579616075553123,6,0.16666666666666666
ETTm1,96,mse_scaled,DLinear,2,0.03565003216038339,6,0.3333333333333333
