dataset,horizon_len,metric,model,best_window_count,mean_best_value,n_windows,best_window_fraction
ESNet,4321,dtw_scaled,DLinear,2,0.1492097594188642,3,0.6666666666666666
ESNet,4321,dtw_scaled,Chronos-2,1,0.1373061456704606,3,0.3333333333333333
ESNet,4321,high_frequency_energy_ratio_error,PatchTST,2,4.72904284623629,3,0.6666666666666666
ESNet,4321,high_frequency_energy_ratio_error,TimeMixer,1,4.509556379070966,3,0.3333333333333333
ESNet,4321,mae_scaled,DLinear,3,0.2039625828855419,3,1.0
ESNet,4321,mse_scaled,iTransformer,2,1.3796255732124623,3,0.6666666666666666
ESNet,4321,mse_scaled,TimeMixer,1,1.6041747812452802,3,0.3333333333333333
ESNet,4321,tdi_scaled,iTransformer,2,4.384438205062492e-06,3,0.6666666666666666
ESNet,4321,tdi_scaled,PatchTST,1,1.4674245694481162e-05,3,0.3333333333333333
ESNet,4321,total_variation_ratio_error,PatchTST,2,3.4054620680106797,3,0.6666666666666666
ESNet,4321,total_variation_ratio_error,TimeMixer,1,3.147351373191463,3,0.3333333333333333
ETTh1,336,dtw_scaled,Chronos-2,1,0.0726546787206739,6,0.16666666666666666
ETTh1,336,dtw_scaled,DLinear,1,0.0635773812786675,6,0.16666666666666666
ETTh1,336,dtw_scaled,PatchTST,1,0.07076489871825442,6,0.16666666666666666
ETTh1,336,dtw_scaled,TimeMixer,1,0.08101582095663944,6,0.16666666666666666
ETTh1,336,dtw_scaled,TimesFM,1,0.04908945415750404,6,0.16666666666666666
ETTh1,336,dtw_scaled,iTransformer,1,0.08139076641768987,6,0.16666666666666666
ETTh1,336,high_frequency_energy_ratio_error,TimeMixer,3,0.4492742981627819,6,0.5
ETTh1,336,high_frequency_energy_ratio_error,Chronos-2,1,0.04344316157569013,6,0.16666666666666666
ETTh1,336,high_frequency_energy_ratio_error,DLinear,1,0.5182909350588214,6,0.16666666666666666
ETTh1,336,high_frequency_energy_ratio_error,iTransformer,1,0.6191415248663634,6,0.16666666666666666
ETTh1,336,mae_scaled,TimesFM,3,0.17149320599578677,6,0.5
ETTh1,336,mae_scaled,Chronos-2,2,0.12734165965091615,6,0.3333333333333333
ETTh1,336,mae_scaled,TimeMixer,1,0.21972670353915846,6,0.16666666666666666
ETTh1,336,mse_scaled,Chronos-2,2,0.03859601761361024,6,0.3333333333333333
ETTh1,336,mse_scaled,TimesFM,2,0.043864383374156324,6,0.3333333333333333
ETTh1,336,mse_scaled,DLinear,1,0.040204920936780866,6,0.16666666666666666
ETTh1,336,mse_scaled,TimeMixer,1,0.0761457783697499,6,0.16666666666666666
ETTh1,336,tdi_scaled,PatchTST,2,0.013614052678314448,6,0.3333333333333333
ETTh1,336,tdi_scaled,TimesFM,2,0.005282889658836941,6,0.3333333333333333
ETTh1,336,tdi_scaled,Chronos-2,1,0.0020122980521087423,6,0.16666666666666666
ETTh1,336,tdi_scaled,TimeMixer,1,0.01955467838022783,6,0.16666666666666666
ETTh1,336,total_variation_ratio_error,DLinear,6,0.20392451724728197,6,1.0
ETTm1,336,dtw_scaled,Chronos-2,2,0.1419755240435067,6,0.3333333333333333
ETTm1,336,dtw_scaled,DLinear,2,0.048697333071631405,6,0.3333333333333333
ETTm1,336,dtw_scaled,TimesFM,2,0.31612964036490854,6,0.3333333333333333
ETTm1,336,high_frequency_energy_ratio_error,DLinear,6,0.7261881128664102,6,1.0
ETTm1,336,mae_scaled,Chronos-2,2,0.41407495577420506,6,0.3333333333333333
